#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_140	3216	6	N	N	1	*	*,140,*
contig_92	3201	5	N	N	1	*	*,92,*
contig_2	3185	7	N	N	1	*	*,2,*
contig_45	3152	4	N	N	1	*	*,45,*
contig_167	3117	4	N	Y	1	*	167
contig_149	3023	4	N	N	1	*	*,149,*
contig_13	2936	468	N	Y	234	*	13
contig_172	2936	3	N	N	1	*	*,172,*
contig_51	2928	4	N	N	1	*	*,51,*
contig_163	2919	3	N	N	1	*	*,163,*
contig_160	2910	3	N	N	1	*	*,160,*
contig_175	2907	9	N	N	1	*	175,-174
contig_156	2899	4	N	N	1	*	*,156,*
contig_52	2856	5	N	N	1	*	*,52,*
contig_119	2777	3	N	N	1	*	*,119,*
contig_71	2773	4	N	N	1	*	*,71,*
contig_210	2736	4	Y	Y	1	*	210
contig_120	2713	5	N	N	1	*	*,120,*
contig_180	2680	61	Y	Y	20	*	180
contig_177	2644	4	N	N	1	*	*,177,*
contig_176	2610	3	N	N	1	*	*,176,*
contig_66	2584	5	N	N	1	*	*,66,*
contig_56	2572	5	N	N	1	*	*,56,*
contig_79	2571	5	N	N	1	*	*,79,*
contig_91	2548	4	N	N	1	*	*,91,*
contig_72	2534	4	N	N	1	*	*,72,*
contig_137	2509	5	N	N	1	*	*,137,*
contig_110	2460	3	N	N	1	*	*,110,*
contig_128	2449	5	N	N	1	*	*,128,*
contig_80	2441	3	N	N	1	*	*,80,*
contig_173	2435	4	N	N	1	*	*,173,*
contig_131	2379	3	N	N	1	*	*,131,*
contig_133	2294	3	N	N	1	*	*,133,*
contig_78	2276	3	N	N	1	*	*,78,*
contig_40	2269	3	N	N	1	*	*,40,*
contig_48	2266	3	N	N	1	*	*,48,*
contig_116	2258	10	N	N	2	*	*,116,*
contig_33	2247	7	N	N	1	*	*,33,*
contig_178	2240	5	N	N	1	*	*,178,*
contig_115	2234	3	N	N	1	*	*,115,*
contig_50	2232	5	N	N	1	*	*,50,*
contig_139	2231	3	N	N	1	*	*,139,*
contig_55	2213	3	N	N	1	*	*,55,*
contig_217	2167	3	Y	Y	1	*	217
contig_145	2053	9	N	N	1	*	*,145,*
contig_18	2044	5	N	N	1	*	*,18,*
contig_77	2009	3	Y	Y	1	*	77
contig_81	1877	11	Y	Y	1	*	81
contig_166	1845	7	Y	Y	1	*	166
contig_142	1792	6	N	Y	1	*	142
contig_75	1689	4	N	N	1	*	*,75,*
contig_11	1643	4	N	Y	1	*	11
contig_22	1635	30	N	Y	1	*	22
contig_143	1612	4	N	Y	1	*	143
contig_64	1570	3	N	N	1	*	*,64,*
contig_29	1447	607	N	Y	31	*	*,29,*
contig_141	1442	6	N	N	1	*	*,141,*
contig_135	1440	7	N	N	1	*	*,135,*
contig_69	1399	6	N	Y	1	*	*,69,*
contig_164	1292	3	Y	Y	1	*	164
contig_54	1244	43	N	Y	4	*	54
contig_151	1234	4	N	N	1	*	*,151,*
contig_124	1188	3	N	Y	1	*	124
contig_67	1163	8	N	N	1	*	*,67,*
contig_19	1017	3	N	N	1	*	*,19,*
contig_70	1014	3	N	Y	1	*	*,70,*
contig_125	988	4	N	N	1	*	*,125,*
contig_24	958	18	N	Y	1	*	24
contig_27	937	16	N	Y	1	*	27
contig_26	884	5	N	Y	2	*	26
contig_25	866	20	N	Y	2	*	25
contig_28	702	3	N	Y	1	*	28
contig_42	590	21	N	Y	1	*	42
contig_9	574	166	N	Y	9	*	9
contig_43	573	10	N	Y	1	*	43
contig_21	570	10	N	Y	1	*	21
contig_53	539	11	N	Y	1	*	53
contig_10	523	183	N	Y	10	*	10
contig_8	516	158	N	Y	9	*	8
contig_20	231	30	N	Y	10	*	20
